"","biddingZone_Domain.mRID","start_DateAndOrTime.date","start_DateAndOrTime.time","end_DateAndOrTime.date","end_DateAndOrTime.time","quantity_Measure_Unit.name","production_RegisteredResource.mRID","production_RegisteredResource.name","production_RegisteredResource.pSRType.powerSystemResources.mRID","production_RegisteredResource.pSRType.powerSystemResources.name","production_RegisteredResource.pSRType.powerSystemResources.nominalP","reas_c","quantity","reas_t","year","st.mon","st.d","end.mon","end.d","st.datetime","end.datetime","duration_days"
"71","10YDE-VE-------2",2016-01-12,"08:10:00",2016-01-12,"11:59:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---AV","HKW Moorburg Block A","800","B18","0",NA,"2016","01","12","01","12",2016-01-12 08:10:00,2016-01-12 11:59:00,0.159027777777778
"72","10YDE-VE-------2",2016-02-01,"09:00:00",2016-02-01,"18:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","250",NA,"2016","02","01","02","01",2016-02-01 09:00:00,2016-02-01 18:00:00,0.375
"73","10YDE-VE-------2",2016-02-10,"17:35:00",2016-02-11,"12:59:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---BT","HKW Moorburg Block B","800","B18","630",NA,"2016","02","10","02","11",2016-02-10 17:35:00,2016-02-11 12:59:00,0.808333333333333
"74","10YDE-VE-------2",2016-02-23,"19:00:00",2016-02-25,"07:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","249.7",NA,"2016","02","23","02","25",2016-02-23 19:00:00,2016-02-25 07:30:00,1.52083333333333
"75","10YDE-VE-------2",2016-03-14,"17:00:00",2016-03-17,"23:49:00","MAW","11WD8TIEF5X----V","HKW Tiefstack","11WD8TIEF5C----9","HKW Tiefstack Block 2","189","B18","0",NA,"2016","03","14","03","17",2016-03-14 17:00:00,2016-03-17 23:49:00,3.28402777777778
"76","10YDE-VE-------2",2016-03-28,"22:30:00",2016-03-29,"04:00:00","MAW","11WD8TIEF5X----V","HKW Tiefstack","11WD8TIEF5C----9","HKW Tiefstack Block 2","189","B18","70",NA,"2016","03","28","03","29",2016-03-28 22:30:00,2016-03-29 04:00:00,0.229166666666667
"77","10YDE-VE-------2",2016-08-28,"11:15:00",2016-08-30,"21:45:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","270","Other","2016","08","28","08","30",2016-08-28 11:15:00,2016-08-30 21:45:00,2.4375
"78","10YDE-VE-------2",2016-09-08,"06:15:00",2016-09-08,"07:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","290.1",NA,"2016","09","08","09","08",2016-09-08 06:15:00,2016-09-08 07:00:00,0.03125
"79","10YDE-VE-------2",2016-10-08,"15:00:00",2016-10-08,"16:19:00","MAW","11WD8REUW1C----4","HKW Reuter West","11WD8REUW1C---DD","HKW Reuter West Block D","282","B18","149",NA,"2016","10","08","10","08",2016-10-08 15:00:00,2016-10-08 16:19:00,0.0548611111111111
"80","10YDE-VE-------2",2016-11-08,"09:45:00",2016-11-08,"14:00:00","MAW","11WD8TIEF5X----V","HKW Tiefstack","11WD8TIEF5C----9","HKW Tiefstack Block 2","189","B18","60",NA,"2016","11","08","11","08",2016-11-08 09:45:00,2016-11-08 14:00:00,0.177083333333333
